,Unnamed: 0,Loyalty#,First Name,Last Name,Customer Name,Province or State,City,Latitude,Longitude,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,enroll_year,enroll_month,enroll_month_year,enroll_day,cancel_year,cancel_month,cancel_month_year,cancel_day,DaysSinceEnrollment,DaysSinceCancellation,EnrollmentDurationInDays,IsCancelled
14,14,286114,Vikki,Rengers,Vikki Rengers,Ontario,Toronto,43.653225,-79.383186,female,College,Rural,0.0,Single,Star,3872.22,Standard,2019,11,2019-11,29,,,NaT,,762,,762.0,False
15,15,205785,Johnathan,Cannizzaro,Johnathan Cannizzaro,Ontario,Toronto,43.653225,-79.383186,male,Master,Rural,28142.0,Married,Star,3873.65,Standard,2019,8,2019-08,25,,,NaT,,858,,858.0,False
16,16,735304,Lang,Privatsky,Lang Privatsky,Alberta,Edmonton,53.544388,-113.49093,female,Master,Urban,28142.0,Married,Star,3873.65,Standard,2019,12,2019-12,6,,,NaT,,755,,755.0,False
17,17,438936,Bernie,Schlagel,Bernie Schlagel,Quebec,Montreal,45.50169,-73.567253,male,Bachelor,Rural,84981.0,Married,Star,3878.77,Standard,2016,10,2016-10,30,,,NaT,,1887,,1887.0,False
18,18,243713,Doloris,Buben,Doloris Buben,New Brunswick,Moncton,46.087818,-64.778229,female,College,Rural,0.0,Married,Star,3883.4,2021 Promotion,2021,2,2021-02,9,,,NaT,,324,,324.0,False
19,19,354730,Herbert,Cantabrana,Herbert Cantabrana,New Brunswick,Fredericton,45.963589,-66.643112,female,College,Urban,0.0,Married,Star,3885.46,Standard,2017,10,2017-10,23,2021.0,1.0,2021-01,2.0,1529,362.0,1167.0,True
20,20,413741,Mitchell,Hinchliff,Mitchell Hinchliff,Ontario,Toronto,43.653225,-79.383186,female,College,Urban,0.0,Married,Star,3885.46,Standard,2018,7,2018-07,30,,,NaT,,1249,,1249.0,False
21,21,552965,Lia,Broome,Lia Broome,Quebec,Montreal,45.50169,-73.567253,male,College,Rural,0.0,Married,Star,3885.46,Standard,2021,11,2021-11,18,,,NaT,,42,,42.0,False
22,22,642313,Michel,Theuret,Michel Theuret,Alberta,Edmonton,53.544388,-113.49093,male,College,Suburban,0.0,Married,Star,3885.46,Standard,2019,3,2019-03,22,,,NaT,,1014,,1014.0,False
23,23,263080,Tracy,Hergenreter,Tracy Hergenreter,Alberta,Edmonton,53.544388,-113.49093,male,College,Urban,0.0,Single,Star,3886.5,Standard,2017,5,2017-05,21,,,NaT,,1684,,1684.0,False
24,24,109767,Ami,Grosbier,Ami Grosbier,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Suburban,78108.0,Single,Star,3886.65,Standard,2019,5,2019-05,21,,,NaT,,954,,954.0,False
25,25,217754,Mitzi,Roaoo,Mitzi Roaoo,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Urban,96335.0,Single,Star,3887.32,Standard,2018,6,2018-06,20,,,NaT,,1289,,1289.0,False
26,26,157005,Tanika,Quire,Tanika Quire,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Rural,91182.0,Married,Star,3890.87,Standard,2019,10,2019-10,31,,,NaT,,791,,791.0,False
27,27,557752,Sherilyn,Fujikawa,Sherilyn Fujikawa,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Suburban,91182.0,Married,Star,3890.87,Standard,2020,10,2020-10,9,,,NaT,,447,,447.0,False
28,28,608758,Rhona,Interiano,Rhona Interiano,Ontario,Ottawa,45.421532,-75.697189,male,Bachelor,Rural,43578.0,Married,Star,3890.96,Standard,2016,7,2016-07,15,,,NaT,,1994,,1994.0,False
29,29,599341,Shaunna,Books,Shaunna Books,Quebec,Tremblant,46.118462,-74.596184,female,Bachelor,Rural,31409.0,Married,Star,3891.54,Standard,2018,11,2018-11,22,,,NaT,,1134,,1134.0,False
30,30,333502,Shawnda,Valladares,Shawnda Valladares,British Columbia,Vancouver,49.28273,-123.12074,male,College,Urban,0.0,Married,Star,3891.58,Standard,2017,3,2017-03,4,,,NaT,,1762,,1762.0,False
31,31,201574,Trudy,Roscoe,Trudy Roscoe,Ontario,Ottawa,45.421532,-75.697189,female,Bachelor,Suburban,26605.0,Married,Star,3893.31,Standard,2018,4,2018-04,6,2018.0,12.0,2018-12,6.0,1364,1120.0,244.0,True
32,32,403361,Inell,Zeno,Inell Zeno,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Rural,52361.0,Single,Star,3895.03,Standard,2020,10,2020-10,24,,,NaT,,432,,432.0,False
33,33,543918,Penni,Gess,Penni Gess,Quebec,Montreal,45.50169,-73.567253,male,High School or Below,Urban,10853.0,Married,Star,3896.57,Standard,2015,11,2015-11,19,,,NaT,,2233,,2233.0,False
34,34,806030,Rasheeda,Simenson,Rasheeda Simenson,Alberta,Calgary,51.048615,-114.07085,female,Bachelor,Urban,60068.0,Married,Star,3903.47,Standard,2021,5,2021-05,3,,,NaT,,241,,241.0,False
35,35,119200,Bari,Seraille,Bari Seraille,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,51833.0,Divorced,Star,3903.8,Standard,2020,5,2020-05,8,,,NaT,,601,,601.0,False
36,36,175967,Jolyn,Podvin,Jolyn Podvin,British Columbia,Whistler,50.116322,-122.95736,male,Bachelor,Suburban,60230.0,Married,Star,3906.67,2021 Promotion,2021,2,2021-02,15,,,NaT,,318,,318.0,False
37,37,238119,Aundrea,Difranco,Aundrea Difranco,Quebec,Montreal,45.50169,-73.567253,male,Bachelor,Rural,60230.0,Married,Star,3906.67,Standard,2016,5,2016-05,19,,,NaT,,2051,,2051.0,False
38,38,730388,Gaynelle,Garnette,Gaynelle Garnette,Ontario,Thunder Bay,48.380894,-89.247681,male,College,Rural,0.0,Single,Star,3907.03,Standard,2015,5,2015-05,2,,,NaT,,2434,,2434.0,False
39,39,834891,Wendell,Besley,Wendell Besley,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,30821.0,Married,Star,3911.12,Standard,2020,3,2020-03,8,2020.0,4.0,2020-04,18.0,662,621.0,41.0,True
40,40,127400,Cassandra,Easlick,Cassandra Easlick,British Columbia,Whistler,50.116322,-122.95736,female,College,Rural,0.0,Single,Star,3914.72,Standard,2017,6,2017-06,26,,,NaT,,1648,,1648.0,False
41,41,324557,Bethanie,Kolander,Bethanie Kolander,Quebec,Montreal,45.50169,-73.567253,female,College,Urban,0.0,Single,Star,3914.72,Standard,2016,2,2016-02,24,,,NaT,,2136,,2136.0,False
42,42,742002,Carolyne,Purdue,Carolyne Purdue,Ontario,Toronto,43.653225,-79.383186,female,College,Urban,0.0,Single,Star,3915.8,Standard,2019,5,2019-05,15,,,NaT,,960,,960.0,False
43,43,536567,Clint,Maravilla,Clint Maravilla,Alberta,Peace River,56.23418,-117.28938,male,Bachelor,Suburban,66676.0,Married,Star,3919.37,Standard,2019,5,2019-05,12,,,NaT,,963,,963.0,False
44,44,704835,Elvina,Kurtich,Elvina Kurtich,British Columbia,Whistler,50.116322,-122.95736,male,Bachelor,Urban,66676.0,Married,Star,3919.37,Standard,2019,9,2019-09,17,,,NaT,,835,,835.0,False
45,45,733338,Raphael,Muskrat,Raphael Muskrat,Ontario,Thunder Bay,48.380894,-89.247681,female,Bachelor,Rural,66676.0,Married,Star,3919.37,Standard,2019,6,2019-06,3,2020.0,2.0,2020-02,3.0,941,696.0,245.0,True
46,46,758635,Stephany,Loft,Stephany Loft,Quebec,Montreal,45.50169,-73.567253,male,Bachelor,Suburban,66676.0,Married,Star,3919.37,Standard,2021,6,2021-06,20,,,NaT,,193,,193.0,False
47,47,823048,Echo,Wendy,Echo Wendy,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Urban,66676.0,Married,Star,3919.37,Standard,2021,5,2021-05,9,,,NaT,,235,,235.0,False
48,48,612905,Frankie,Lapitan,Frankie Lapitan,Ontario,Toronto,43.653225,-79.383186,female,College,Rural,0.0,Married,Star,3920.51,Standard,2018,2,2018-02,28,,,NaT,,1401,,1401.0,False
49,49,679908,Deon,Biery,Deon Biery,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Rural,62445.0,Married,Star,3921.02,Standard,2018,8,2018-08,15,,,NaT,,1233,,1233.0,False
50,50,704150,Raymond,Hokkanen,Raymond Hokkanen,Manitoba,Winnipeg,49.895138,-97.138374,male,Bachelor,Urban,62445.0,Married,Star,3921.02,Standard,2017,10,2017-10,27,,,NaT,,1525,,1525.0,False
51,51,869743,Sima,Parton,Sima Parton,Ontario,Sudbury,46.522099,-80.953033,female,Bachelor,Suburban,56480.0,Single,Star,3924.42,Standard,2019,11,2019-11,10,2020.0,7.0,2020-07,10.0,781,538.0,243.0,True
52,52,596179,Kathryne,Kloeck,Kathryne Kloeck,New Brunswick,Fredericton,45.963589,-66.643112,female,Bachelor,Suburban,25927.0,Single,Star,3933.81,Standard,2017,3,2017-03,28,,,NaT,,1738,,1738.0,False
53,53,370450,Cathryn,Sundell,Cathryn Sundell,Ontario,Thunder Bay,48.380894,-89.247681,female,High School or Below,Urban,20920.0,Married,Star,3934.1,Standard,2015,11,2015-11,2,,,NaT,,2250,,2250.0,False
54,54,501030,Ciera,Kalfa,Ciera Kalfa,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Urban,84229.0,Married,Star,3934.71,Standard,2020,3,2020-03,25,,,NaT,,645,,645.0,False
55,55,878633,Victor,Toplin,Victor Toplin,Ontario,Trenton,44.101128,-77.576309,female,Doctor,Rural,19245.0,Married,Star,3936.79,Standard,2016,12,2016-12,2,,,NaT,,1854,,1854.0,False
56,56,285938,Glen,Randall,Glen Randall,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Suburban,60021.0,Married,Star,3939.01,Standard,2017,9,2017-09,3,,,NaT,,1579,,1579.0,False
57,57,588237,Teresia,Mckendry,Teresia Mckendry,Quebec,Tremblant,46.118462,-74.596184,male,Bachelor,Rural,60021.0,Married,Star,3939.01,Standard,2016,11,2016-11,25,,,NaT,,1861,,1861.0,False
58,58,645280,Natalya,Boardwine,Natalya Boardwine,British Columbia,West Vancouver,49.328625,-123.16019,male,Bachelor,Suburban,60021.0,Married,Star,3939.01,Standard,2015,12,2015-12,15,,,NaT,,2207,,2207.0,False
59,59,864324,Cherri,Flavell,Cherri Flavell,Quebec,Quebec City,46.813877,-71.207977,female,Bachelor,Rural,60021.0,Married,Star,3939.01,Standard,2021,6,2021-06,3,,,NaT,,210,,210.0,False
60,60,124678,Eddie,Ribsamen,Eddie Ribsamen,Nova Scotia,Halifax,44.648766,-63.575237,male,Doctor,Urban,18375.0,Married,Star,3954.34,Standard,2016,6,2016-06,13,,,NaT,,2026,,2026.0,False
61,61,186015,Florrie,Thach,Florrie Thach,British Columbia,Vancouver,49.28273,-123.12074,male,Doctor,Rural,18375.0,Married,Star,3954.34,Standard,2018,9,2018-09,5,,,NaT,,1212,,1212.0,False
62,62,461108,Polly,Mayville,Polly Mayville,Quebec,Montreal,45.50169,-73.567253,male,Doctor,Urban,18375.0,Married,Star,3954.34,Standard,2021,10,2021-10,15,,,NaT,,76,,76.0,False
63,63,589580,Elodia,Kieffer,Elodia Kieffer,British Columbia,Whistler,50.116322,-122.95736,male,Doctor,Suburban,18375.0,Married,Star,3954.34,Standard,2018,8,2018-08,27,,,NaT,,1221,,1221.0,False
64,64,623688,Dwayne,Cimaglia,Dwayne Cimaglia,Ontario,London,42.984924,-81.245277,female,Doctor,Rural,18375.0,Married,Star,3954.34,Standard,2019,5,2019-05,7,,,NaT,,968,,968.0,False
65,65,751616,Rocco,Niederhauser,Rocco Niederhauser,Ontario,Trenton,44.101128,-77.576309,female,Doctor,Suburban,18375.0,Married,Star,3954.34,2021 Promotion,2021,4,2021-04,17,,,NaT,,257,,257.0,False
66,66,256147,Joleen,Gessford,Joleen Gessford,Ontario,Toronto,43.653225,-79.383186,female,College,Suburban,0.0,Married,Star,3958.0,Standard,2015,9,2015-09,4,,,NaT,,2309,,2309.0,False
67,67,329382,Ngoc,Dubuisson,Ngoc Dubuisson,Quebec,Montreal,45.50169,-73.567253,male,College,Suburban,0.0,Single,Star,3961.59,2021 Promotion,2015,8,2015-08,27,,,NaT,,2317,,2317.0,False
68,68,140392,Hilary,Shain,Hilary Shain,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,88701.0,Married,Star,3963.39,Standard,2016,7,2016-07,22,,,NaT,,1987,,1987.0,False
69,69,541008,Jeanmarie,Resch,Jeanmarie Resch,Ontario,London,42.984924,-81.245277,male,Bachelor,Suburban,38096.0,Divorced,Star,3963.4,2021 Promotion,2021,4,2021-04,4,,,NaT,,270,,270.0,False
70,70,230908,Carmelia,Burkham,Carmelia Burkham,British Columbia,Vancouver,49.28273,-123.12074,male,Doctor,Suburban,23474.0,Divorced,Star,3964.15,Standard,2015,5,2015-05,27,,,NaT,,2409,,2409.0,False
71,71,972581,Quiana,Ciolli,Quiana Ciolli,British Columbia,Vancouver,49.28273,-123.12074,male,High School or Below,Rural,14616.0,Married,Star,3964.53,Standard,2019,2,2019-02,13,,,NaT,,1051,,1051.0,False
72,72,357549,Elisha,Furna,Elisha Furna,British Columbia,Whistler,50.116322,-122.95736,female,Bachelor,Rural,60817.0,Single,Star,3964.73,Standard,2021,9,2021-09,21,2019.0,5.0,2019-05,21.0,100,954.0,0.0,True
73,73,157729,Tobi,Kriss,Tobi Kriss,British Columbia,Victoria,48.428421,-123.36565,male,Bachelor,Rural,72439.0,Married,Star,3966.13,2021 Promotion,2021,3,2021-03,18,,,NaT,,287,,287.0,False
74,74,910875,Alaina,Rumble,Alaina Rumble,Quebec,Hull,45.42873,-75.713364,female,Bachelor,Urban,72439.0,Married,Star,3966.13,Standard,2015,11,2015-11,3,,,NaT,,2249,,2249.0,False
75,75,501704,Jadwiga,Howry,Jadwiga Howry,Quebec,Hull,45.42873,-75.713364,male,College,Suburban,0.0,Divorced,Star,3974.86,Standard,2016,5,2016-05,3,,,NaT,,2067,,2067.0,False
76,76,529098,Sherril,Roofner,Sherril Roofner,British Columbia,Vancouver,49.28273,-123.12074,female,College,Urban,0.0,Divorced,Star,3974.86,Standard,2020,10,2020-10,23,,,NaT,,433,,433.0,False
77,77,265297,Ebonie,Radde,Ebonie Radde,Manitoba,Winnipeg,49.895138,-97.138374,female,Bachelor,Urban,39101.0,Married,Star,3978.67,Standard,2021,7,2021-07,17,2019.0,3.0,2019-03,17.0,166,1019.0,0.0,True
78,78,567875,Lady,Tlumacki,Lady Tlumacki,Quebec,Quebec City,46.813877,-71.207977,female,Bachelor,Suburban,96413.0,Married,Star,3979.72,Standard,2020,5,2020-05,15,,,NaT,,594,,594.0,False
79,79,688524,Darius,Dehnert,Darius Dehnert,Manitoba,Winnipeg,49.895138,-97.138374,female,Bachelor,Urban,98333.0,Married,Star,3980.42,Standard,2016,3,2016-03,26,,,NaT,,2105,,2105.0,False
80,80,269070,Virginia,Swida,Virginia Swida,British Columbia,Vancouver,49.28273,-123.12074,male,Master,Rural,17220.0,Married,Star,3985.32,Standard,2016,1,2016-01,14,,,NaT,,2177,,2177.0,False
81,81,387705,Paulene,Saluan,Paulene Saluan,Quebec,Hull,45.42873,-75.713364,female,Master,Suburban,17220.0,Married,Star,3985.32,Standard,2016,4,2016-04,30,,,NaT,,2070,,2070.0,False
82,82,923293,Lauretta,Craze,Lauretta Craze,Saskatchewan,Regina,50.44521,-104.6189,male,Bachelor,Suburban,75007.0,Divorced,Star,3985.55,Standard,2019,6,2019-06,12,,,NaT,,932,,932.0,False
83,83,283314,Vi,Scialdone,Vi Scialdone,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Suburban,54964.0,Married,Star,3991.73,Standard,2016,4,2016-04,17,2018.0,2.0,2018-02,3.0,2083,1426.0,657.0,True
84,84,322102,Hermelinda,Hilst,Hermelinda Hilst,British Columbia,Vancouver,49.28273,-123.12074,male,College,Suburban,0.0,Married,Star,3992.58,Standard,2016,8,2016-08,19,2017.0,4.0,2017-04,19.0,1959,1716.0,243.0,True
85,85,789157,Lenora,Millhiser,Lenora Millhiser,British Columbia,Vancouver,49.28273,-123.12074,female,College,Rural,0.0,Single,Star,3995.36,Standard,2021,9,2021-09,25,,,NaT,,96,,96.0,False
86,86,654748,Lona,Hyer,Lona Hyer,Ontario,Ottawa,45.421532,-75.697189,female,Bachelor,Rural,46210.0,Married,Star,3996.77,Standard,2020,4,2020-04,3,2020.0,12.0,2020-12,3.0,636,392.0,244.0,True
87,87,984713,Remedios,Swinea,Remedios Swinea,Ontario,Sudbury,46.522099,-80.953033,female,College,Suburban,0.0,Single,Star,3997.48,Standard,2021,8,2021-08,4,,,NaT,,148,,148.0,False
88,88,114835,Willard,Powal,Willard Powal,Ontario,Toronto,43.653225,-79.383186,female,Master,Suburban,19782.0,Divorced,Star,4001.52,Standard,2020,7,2020-07,3,,,NaT,,545,,545.0,False
89,89,328936,Yvonne,Tear,Yvonne Tear,Ontario,Thunder Bay,48.380894,-89.247681,female,Bachelor,Suburban,28987.0,Married,Star,4005.72,Standard,2018,3,2018-03,21,,,NaT,,1380,,1380.0,False
90,90,845864,Josue,Disalvi,Josue Disalvi,British Columbia,Vancouver,49.28273,-123.12074,female,Doctor,Urban,15413.0,Married,Star,4013.85,Standard,2016,4,2016-04,24,,,NaT,,2076,,2076.0,False
91,91,645265,Stella,Nageotte,Stella Nageotte,Quebec,Quebec City,46.813877,-71.207977,male,Bachelor,Suburban,56586.0,Married,Star,4013.95,Standard,2016,3,2016-03,5,,,NaT,,2126,,2126.0,False
92,92,223587,Nelia,Gallipo,Nelia Gallipo,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,93284.0,Married,Star,4013.96,Standard,2020,8,2020-08,20,,,NaT,,497,,497.0,False
93,93,158560,Hulda,Kvam,Hulda Kvam,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Suburban,37384.0,Married,Star,4014.45,Standard,2018,12,2018-12,11,,,NaT,,1115,,1115.0,False
94,94,417584,Lucina,Moncion,Lucina Moncion,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Suburban,37384.0,Married,Star,4014.45,Standard,2017,5,2017-05,17,,,NaT,,1688,,1688.0,False
95,95,566033,Cruz,Arlt,Cruz Arlt,Ontario,Toronto,43.653225,-79.383186,male,College,Urban,0.0,Married,Star,4015.21,Standard,2018,6,2018-06,16,2019.0,7.0,2019-07,23.0,1293,891.0,402.0,True
96,96,957912,Lacy,Georgopoulos,Lacy Georgopoulos,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Urban,80055.0,Married,Star,4015.34,2021 Promotion,2021,2,2021-02,17,,,NaT,,316,,316.0,False
97,97,425854,Tobi,Sather,Tobi Sather,Ontario,Toronto,43.653225,-79.383186,female,High School or Below,Rural,10074.0,Married,Star,4016.13,Standard,2019,11,2019-11,22,,,NaT,,769,,769.0,False
98,98,174896,Freeman,Decristoforo,Freeman Decristoforo,Alberta,Edmonton,53.544388,-113.49093,female,College,Urban,0.0,Single,Star,4016.54,Standard,2018,4,2018-04,16,2018.0,12.0,2018-12,16.0,1354,1110.0,244.0,True
99,99,695855,Mac,Dering,Mac Dering,Quebec,Montreal,45.50169,-73.567253,female,College,Suburban,0.0,Divorced,Star,4019.38,Standard,2016,4,2016-04,7,,,NaT,,2093,,2093.0,False
100,100,699511,Tiffany,Baradi,Tiffany Baradi,British Columbia,West Vancouver,49.328625,-123.16019,female,College,Rural,0.0,Divorced,Star,4019.38,Standard,2017,7,2017-07,6,,,NaT,,1638,,1638.0,False
101,101,377322,Lura,Blyden,Lura Blyden,Alberta,Edmonton,53.544388,-113.49093,female,Bachelor,Urban,41833.0,Married,Star,4023.81,Standard,2019,5,2019-05,8,,,NaT,,967,,967.0,False
102,102,511053,Meghan,Douyon,Meghan Douyon,Ontario,Toronto,43.653225,-79.383186,male,Bachelor,Suburban,41833.0,Married,Star,4023.81,Standard,2018,3,2018-03,13,,,NaT,,1388,,1388.0,False
103,103,890753,Faustina,Sempek,Faustina Sempek,Quebec,Montreal,45.50169,-73.567253,male,College,Urban,0.0,Married,Star,4025.1,Standard,2020,9,2020-09,2,,,NaT,,484,,484.0,False
104,104,796670,Maryetta,Castera,Maryetta Castera,Manitoba,Winnipeg,49.895138,-97.138374,female,Bachelor,Suburban,21359.0,Married,Star,4035.68,Standard,2017,2,2017-02,12,,,NaT,,1782,,1782.0,False
105,105,556136,Grisel,Kapps,Grisel Kapps,Quebec,Montreal,45.50169,-73.567253,female,College,Rural,0.0,Married,Star,4035.77,Standard,2020,1,2020-01,25,,,NaT,,705,,705.0,False
106,106,513081,Louis,Beaucage,Louis Beaucage,Alberta,Edmonton,53.544388,-113.49093,female,Bachelor,Rural,90760.0,Married,Star,4037.5,Standard,2018,11,2018-11,5,,,NaT,,1151,,1151.0,False
107,107,930718,Willena,Ledee,Willena Ledee,Quebec,Montreal,45.50169,-73.567253,female,High School or Below,Suburban,21586.0,Married,Star,4037.55,Standard,2018,7,2018-07,14,,,NaT,,1265,,1265.0,False
108,108,235872,Ima,Ghiloni,Ima Ghiloni,Ontario,Toronto,43.653225,-79.383186,female,Doctor,Urban,13330.0,Single,Star,4046.94,Standard,2016,3,2016-03,20,,,NaT,,2111,,2111.0,False
109,109,881142,Luanna,Hatlee,Luanna Hatlee,British Columbia,Vancouver,49.28273,-123.12074,female,Doctor,Suburban,13330.0,Single,Star,4046.94,Standard,2019,9,2019-09,27,2020.0,5.0,2020-05,27.0,825,582.0,243.0,True
110,110,295147,Timothy,Loli,Timothy Loli,British Columbia,Kelowna,49.887951,-119.49601,male,Bachelor,Urban,92801.0,Married,Star,4048.16,Standard,2020,5,2020-05,21,,,NaT,,588,,588.0,False
111,111,306110,Janel,Ynocencio,Janel Ynocencio,Ontario,Toronto,43.653225,-79.383186,male,Bachelor,Suburban,44661.0,Married,Star,4053.37,Standard,2016,5,2016-05,12,,,NaT,,2058,,2058.0,False
112,112,295217,Ruthanne,Cavicchi,Ruthanne Cavicchi,Ontario,Toronto,43.653225,-79.383186,female,Doctor,Urban,11621.0,Divorced,Star,4059.57,Standard,2019,6,2019-06,6,,,NaT,,938,,938.0,False
113,113,711363,Mariella,Corkron,Mariella Corkron,Ontario,Sudbury,46.522099,-80.953033,male,College,Suburban,0.0,Married,Star,4064.11,2021 Promotion,2021,4,2021-04,24,2021.0,12.0,2021-12,24.0,250,6.0,244.0,True
114,114,591731,Mindy,Sadee,Mindy Sadee,Ontario,Toronto,43.653225,-79.383186,male,Bachelor,Rural,26599.0,Married,Star,4064.18,Standard,2016,9,2016-09,25,,,NaT,,1922,,1922.0,False
115,115,326905,Joel,Guyette,Joel Guyette,British Columbia,Vancouver,49.28273,-123.12074,female,College,Urban,0.0,Married,Star,4068.09,Standard,2020,2,2020-02,7,,,NaT,,692,,692.0,False
116,116,375511,Brandon,Geissler,Brandon Geissler,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Urban,37435.0,Single,Star,4070.05,Standard,2017,7,2017-07,6,,,NaT,,1638,,1638.0,False
117,117,485283,Magali,Bilich,Magali Bilich,Ontario,Toronto,43.653225,-79.383186,male,Bachelor,Suburban,96443.0,Single,Star,4072.85,Standard,2020,9,2020-09,5,,,NaT,,481,,481.0,False
118,118,760158,Claudette,Ganga,Claudette Ganga,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Suburban,29549.0,Divorced,Star,4076.63,2021 Promotion,2021,2,2021-02,18,,,NaT,,315,,315.0,False
119,119,797685,Malka,Policicchio,Malka Policicchio,Alberta,Edmonton,53.544388,-113.49093,male,College,Suburban,0.0,Married,Star,4079.13,Standard,2020,6,2020-06,3,,,NaT,,575,,575.0,False
120,120,216467,Misti,Hussein,Misti Hussein,New Brunswick,Fredericton,45.963589,-66.643112,male,Doctor,Suburban,13483.0,Married,Star,4083.56,Standard,2017,7,2017-07,13,,,NaT,,1631,,1631.0,False
121,121,958839,Carleen,Isaac,Carleen Isaac,Quebec,Montreal,45.50169,-73.567253,male,Doctor,Rural,13483.0,Married,Star,4083.56,Standard,2021,8,2021-08,16,,,NaT,,136,,136.0,False
